Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
H1:7,GH39FKSW,SOT-23,74.687516,-74.6875,90.0,top
H1:8,GH39FKSW,SOT-23,93.7375,-74.6875,90.0,top
H1:9,GH39FKSW,SOT-23,112.787484,-36.587532,90.0,top
J9,SM03B-SRSS-TB,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,92.8375,-27.237516,180.0,top
L1,3.3u,L_pol_2016,66.822492,-50.452492,0.0,top
L2,10µH,L_APV_APH0630,99.2875,-45.312532,-90.0,top
L3,10µH,L_APV_APH0630,99.1895,-64.215032,-90.0,top
LED1,~,SK9822-EC20,33.3375,-128.58758,0.0,top
LED10,~,SK9822-EC20,52.3875,-90.4875,180.0,top
LED11,~,SK9822-EC20,52.3875,-109.5375,180.0,top
LED12,~,SK9822-EC20,52.3875,-128.5875,180.0,top
LED13,~,SK9822-EC20,71.4375,-128.5875,0.0,top
LED14,~,SK9822-EC20,71.4375,-109.5375,0.0,top
LED15,~,SK9822-EC20,71.4375,-90.487548,0.0,top
LED16,~,SK9822-EC20,71.4375,-71.4375,0.0,top
LED17,~,SK9822-EC20,71.4375,-52.3875,0.0,top
LED18,~,SK9822-EC20,71.4375,-33.3375,0.0,top
LED19,~,SK9822-EC20,90.4875,-33.3375,180.0,top
LED2,~,SK9822-EC20,33.3375,-109.5375,0.0,top
LED20,~,SK9822-EC20,90.4875,-52.3875,180.0,top
LED21,~,SK9822-EC20,90.4875,-71.4375,180.0,top
LED22,~,SK9822-EC20,90.4875,-90.4875,180.0,top
LED23,~,SK9822-EC20,90.4875,-109.5375,180.0,top
LED24,~,SK9822-EC20,90.4875,-128.5875,180.0,top
LED25,~,SK9822-EC20,109.5375,-128.5875,0.0,top
LED26,~,SK9822-EC20,109.5375,-109.5375,0.0,top
LED27,~,SK9822-EC20,109.5375,-90.4875,0.0,top
LED28,~,SK9822-EC20,109.5375,-71.4375,0.0,top
LED29,~,SK9822-EC20,109.5375,-52.3875,0.0,top
LED3,~,SK9822-EC20,33.3375,-90.4875,0.0,top
LED30,~,SK9822-EC20,109.5375,-33.3375,0.0,top
LED4,~,SK9822-EC20,33.3375,-71.4375,0.0,top
LED5,~,SK9822-EC20,33.3375,-52.3875,0.0,top
LED6,~,SK9822-EC20,33.3375,-33.3375,0.0,top
LED7,~,SK9822-EC20,52.3875,-33.3375,180.0,top
LED8,~,SK9822-EC20,52.3875,-52.3875,180.0,top
LED9,~,SK9822-EC20,52.3875,-71.4375,180.0,top
PD1,FUSB302BMPX,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,45.4275,-39.047516,0.0,top
PD2,FUSB302BMPX,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,39.1375,-119.437516,90.0,top
Q1,AO3401,SOT-23,77.5375,-101.337516,90.0,top
Q10,BC847B,SOT-23,69.175001,-121.937516,90.0,top
Q11,BC847B,SOT-23,32.4375,-98.537516,180.0,top
Q13,NCE4009S,SOP-8_3.76x4.96mm_P1.27mm,40.7375,-124.737516,270.0,top
Q14,NCE4009S,SOP-8_3.76x4.96mm_P1.27mm,44.6775,-47.997516,180.0,top
Q2,AO4407A,SOP-8_3.76x4.96mm_P1.27mm,56.7,-101.732516,270.0,top
Q3,BC857,SOT-23,79.4,-108.287516,90.0,top
Q4,AO4407A,SOP-8_3.76x4.96mm_P1.27mm,100.1625,-32.1375,0.0,top
Q5,AO4407A,SOP-8_3.76x4.96mm_P1.27mm,102.7,-85.632516,270.0,top
Q6,AO4407A,SOP-8_3.76x4.96mm_P1.27mm,66.1375,-128.937516,180.0,top
Q7,AO4407A,SOP-8_3.76x4.96mm_P1.27mm,33.1575,-103.267516,90.0,top
Q8,BC847B,SOT-23,104.8625,-31.0375,90.0,top
Q9,BC847B,SOT-23,103.6375,-90.437516,0.0,top
R10,0Ω,R_0402_1005Metric-no-silkscreen-text,54.2875,-43.827516,0.0,top
